footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,mascon_id,lat,lon
mascon 1850,12373.54,52.07559529627272,42.68241882461931,187,318.4814290567542,7.621497740037139,14.543653088923465,16.645637231125427,11.770242963300054,0.6475225501972374,0.5240428724088392,0.5917090697450437,0.7810382000317201,0.3447599930943629,0.45963631020538387,-0.7316485976038622,0.3362922617695829,0.013986847632072223,0.8837415977031746,112.44493014959635,0.3520422236273779,0.09768931212943259,-0.03477255610363969,0.23632857692677875,0.8832949973307764,9.540040016287117,1850,36.0,-119.3814433
mascon 1837,12393.11,37.1233931269771,32.70726923241854,187,184.18624058603524,5.752663358582588,19.474010542743873,23.24057726467431,16.43356978254111,0.35005561388701867,0.2954020871024979,0.3807189007528073,0.8910242317156125,0.44808056571862875,0.6178841618518024,-0.5744138381145352,0.3549212129194765,0.14474448760996694,0.08887032201651994,139.78609780668725,0.21468898091618874,0.032337798752003453,-0.4706591506961122,0.27433839660754405,0.08849664470317148,32.64268676207175,1837,39.0,-121.9354839
mascon 1840,12390.17,35.65332465515829,32.67061059037666,187,208.11095522983288,5.9689250929192506,17.2339763471324,21.641794377802373,15.303059561588956,0.3900478246782359,0.3463463667752122,0.4155799727830121,0.8700974182785723,0.3868424846945429,0.5467438956573126,-0.6329712116423671,0.34607314609227713,0.06289459146828358,0.5000984397769722,115.48659246902187,0.25083738078012285,0.050426442526232004,-0.1964013059919652,0.2923590215500381,0.5031003440382473,26.29203919381628,1840,38.0,-121.4840989
mascon 1845,12383.61,32.38308534818446,28.460619712972694,187,185.86007619017096,6.636065836136534,14.272285580276419,17.55277063784078,12.411683146629336,0.534662846105502,0.4649616768674558,0.5596568126089339,0.818212571163567,0.27509084893174024,0.5506493716057439,-0.5786367320827007,0.3186259529093403,-0.06394707245044957,0.49896481902448203,118.09926783134954,0.2287372770725833,0.03682595315236372,0.1407613909583985,0.20377991976385396,0.4911120806820667,13.992650269217865,1845,37.0,-119.7909408
mascon 1844,12383.61,28.92147482456124,25.593044924476803,187,145.80075656988396,3.53404900352155,15.953439414314547,20.310746880269292,14.36186685000193,0.2460717008750903,0.2215227018915152,0.25598457596629354,0.8492588855628035,0.42898968261197884,0.475735925732102,-0.6794380620448551,0.3232330954245345,0.16386646313407432,0.07942953131373234,111.32509777476585,0.20147448683053204,0.06651225038098876,-0.8867745918862701,0.5100678010713905,0.08495650952695681,66.05970789980537,1844,37.0,-121.0452962
mascon 1849,12373.54,16.04092616297647,11.918547523554754,187,83.76784833294563,2.547388060306863,16.28355748511068,19.675567578200756,13.91272725823993,0.1830976783360826,0.15643928316254832,0.16812666298778312,0.7131028708436241,0.24967587323470228,0.35402584026602274,-0.5525003778218834,0.19559941050568733,0.06937053322312768,0.4632363569914483,112.59604267834415,0.16805205631101114,0.057460008629576356,-0.49755153548315195,0.679776070666038,0.4657708480403392,119.31479964132772,1849,36.0,-120.6185567
mascon 1855,12402.09,15.913149810844764,12.962519348253986,187,72.42143369656044,2.0066728720682177,15.66700457504041,16.947904774089487,11.983978392662538,0.16744630258152407,0.12808273990454502,0.14309081841220972,0.6152890905370508,0.28992062732478574,0.43987020992982034,-0.7091692147640897,0.311942411374046,-0.03478033589981081,0.6939793953156472,132.08652506571332,0.22865424765923642,0.05417586986064898,0.34588876251185147,0.8718112702027486,0.6922089647349916,142.66218352847807,1855,35.0,-119.3877551
mascon 1834,12392.33,14.1348842937091,12.471678314332276,187,86.61979750700065,3.4993128160693954,20.26108185292256,23.29222594749549,16.470090916403315,0.21246469335419818,0.1727110546944776,0.2156462245010024,0.8554072706163997,0.2967376324776816,0.5959043690945075,-0.4936783942534266,0.2941851120631777,0.0036549541676058517,0.9646433555979532,150.45971600934627,0.18796338933942008,0.024005752980256867,-0.019541843405186936,0.4394226770115047,0.9645886296572654,88.61075759635338,1834,40.0,-122.39999999999998
mascon 1841,12390.17,5.80280354240243,5.409569086985286,187,26.289437388814957,1.5081066624580266,14.958100174384006,18.552644957364212,13.118701058298639,0.11495853558641976,0.10082207264801477,0.1278083284210392,0.7697674349040408,0.17479066194426401,0.6093934861230071,-0.370367911204737,0.22569979255715103,-0.06912462737706822,0.45941044347321525,120.10334754188949,0.13850839238005686,0.01718741016223128,0.5852157762825291,0.7769221349703669,0.4528120556168078,302.6756931371056,1841,38.0,-120.21201410000003
mascon 1827,12379.21,5.674838456197313,4.880013777577949,187,17.746833129875657,0.5912132502017854,13.968826536460243,16.717768083025003,11.821247177811008,0.050012764415544766,0.04232375916893598,0.04983296889852192,0.8797008710614418,0.30293416234252746,0.5206761833141768,-0.4794750582774596,0.24965124333825015,0.07111816399642389,0.3845035126554076,153.36854257927038,0.23129583208249638,0.03747940365547918,-1.6347621811144608,1.8664515447053214,0.3824996641069616,1599.1833901248715,1827,42.0,-122.02247190000004
mascon 1854,12402.09,4.359613090077301,3.8502593136664247,187,12.146018231371674,0.45086584251070294,18.17039747883499,20.053354341147703,14.179862840162231,0.03179620618287621,0.024813207473082233,0.02609455333267018,0.45423795230026337,0.1400862894979873,0.2978418360687833,-0.5973660717955427,0.17792060762878106,-0.049419703980014745,0.5876375319947428,126.56799788681928,0.1446143688361331,0.046267896475609645,2.370763217364439,4.293455722730789,0.5818219377438998,3956.483713288842,1854,35.0,-120.6122449
mascon 1832,12387.74,3.309174311686716,3.002325447572176,187,4.7971191554451895,0.2046752287201207,14.335195869925208,16.544756107653424,11.698909236799285,0.017495240332005346,0.014277811798129869,0.017118096474731097,0.8535270612753861,0.21942600623235375,0.5467685132770483,-0.46641739936398147,0.25502234801679147,-0.04806213265433934,0.5706577899167742,142.04773032065904,0.3711177593922712,0.05225269875297146,3.18628376437335,5.601108320806331,0.5703643258496252,13068.332199942222,1832,41.0,-120.2214022
mascon 1859,12384.63,3.14545248636512,2.9209373878123484,187,16.145182673252947,0.6439990197098399,16.173383370227345,16.577845548570853,11.72230700485767,0.054937907652731634,0.03981844769074978,0.04454362271234892,0.44335366628259093,0.1299592630642041,0.4283936230017462,-0.5298570129279874,0.2269873654411036,-0.12661485204575088,0.13968362650139177,140.4471934611647,0.16407785658404464,0.02950999502259779,3.387914242531616,2.257843069900843,0.1357761974630066,1325.304770772883,1859,34.0,-118.99328860000004
mascon 1836,12393.11,3.0189395531319145,2.825221314288393,187,9.213584074398714,0.5084085378386045,24.6484053295981,26.899256001691153,19.02064632766875,0.026729298735713215,0.020626427188297713,0.025400435552722922,0.7381393413463548,0.17797354592355882,0.5798855275692332,-0.35147882202303876,0.20381748213824244,-0.03388405086422897,0.68984083378248,144.17081690460486,0.15864610810212085,0.01962671023579902,1.4295562379922913,3.540215309364135,0.6869672268612956,5598.66989452064,1836,39.0,-123.22580649999998
mascon 1839,12390.17,2.9925390979783617,2.849084367106209,187,8.510509151107689,0.5672543154277001,21.742204682259008,25.749258184918375,18.207475073078996,0.031155023590636387,0.026090008981037822,0.03078683288255631,0.6984975184284695,0.17606500172505013,0.5270103163979541,-0.30588205052424566,0.16120299622723772,0.018368004792140822,0.8376513924860205,127.02001240385813,0.16881775537778337,0.02581858795654624,-0.6284430987437047,3.059894968116041,0.837611492680115,4121.011461955299,1839,38.0,-122.7561837
mascon 1831,12387.74,2.7871795175619787,2.46745384073497,187,11.718991404309646,0.5452282914878988,15.875783348073524,19.0413715197666,13.464282924719358,0.04049441730661369,0.034343394561003535,0.04146001267040208,0.8256403068797213,0.19570759516275332,0.5542522067677516,-0.4410791226641706,0.24446907709580032,-0.06527584003776975,0.4360756402733195,147.31462387159883,0.15074077522810442,0.019945104648360405,1.7627694612677784,2.2382303610210332,0.4322382092772294,2439.3250920918226,1831,41.0,-121.54981550000002
mascon 1828,12379.21,2.1660340584234805,2.000289071603491,187,19.2562366431662,0.7385698462401941,12.882335947247418,15.033701761476276,10.630432461876019,0.06947693321875016,0.057331981502780564,0.06952443209653296,0.8654679503230823,0.27699289541830113,0.5576941454499317,-0.6010567822876756,0.33520584856481084,-0.08775225458270433,0.27168048844858955,158.47609031637748,0.3517816477600265,0.04758617314126343,1.5896622412348735,1.4451002901560583,0.27301677783467243,828.6644566037888,1828,42.0,-120.6741573
mascon 1843,12383.61,2.0510887424293567,1.9273241424875087,187,4.007825675515939,0.1598032680869404,19.31856079955946,24.37345209119487,17.234633254609328,0.009272217501013647,0.008272006892489867,0.009255867971848396,0.7273114366974588,0.2911202183933431,0.4352546840439268,-0.4954123622406686,0.21563055119851762,0.09652680226414828,0.30768464633572107,110.85889940868395,0.13439082053938722,0.034416374462064074,-12.094253026835823,11.940568492168422,0.3133886504307991,46525.6844057462,1843,37.0,-122.2996516
mascon 1835,12392.33,1.925413753369518,1.7109928964939682,187,10.661779808971632,0.48500200215371475,17.20835603501081,20.889728535886892,14.77126870487175,0.032834146602028505,0.02818409853718546,0.035661595509254816,0.8272807526732128,0.28762737563410434,0.6087689636016494,-0.4158765281796758,0.25317272304619337,0.04775505674800586,0.5800364653491126,136.9579419984921,0.1104333965559002,0.014015482736802231,-1.4781335909531592,2.6632799673773833,0.5798168326411263,3710.2957205498224,1835,40.0,-121.09090909999998
mascon 1875,12392.33,1.8443321956452816,1.57280694869278,187,4.725696211628183,0.19885931318489664,15.265546904588332,17.691069665594572,12.509475326985548,0.01589669494418488,0.013026674669947523,0.016089174352246927,0.8586030485523121,0.24355900978058617,0.5838784210004128,-0.40999142603994937,0.23938514645991316,0.005636763143621756,0.9486058305596025,134.3258915011415,0.36524445362851804,0.04860183938230106,-0.38514996399458773,5.9432664600918566,0.9484282609862686,15828.738735823765,1875,40.0,-119.78181819999998
mascon 1848,12373.54,1.7866243797547388,1.72245403793553,187,7.292085207387446,0.3144265991439707,19.0155915067625,23.833706103860617,16.852975206847052,0.0186570380176092,0.016535199498377496,0.017570965589401424,0.5610619810465419,0.16503744287635508,0.33079232524369656,-0.45765688885035727,0.15138938642660565,0.01626561509434901,0.857641975523512,124.49911068330448,0.10298678890464774,0.030582100652556204,-1.0440755688800833,5.79872817979885,0.8574113020565711,11491.443823455173,1848,36.0,-121.8556701
mascon 1856,12402.09,1.431987647902751,0.8893085282683602,187,4.807140508959333,0.12676547840350696,14.144688552020217,15.103498964262348,10.679786537273904,0.011869664057523833,0.008962055116116478,0.01028121068252858,0.7084449692472695,0.3029569788361127,0.4858425222176923,-0.6313697898897336,0.30674629117208263,-0.005590546501801805,0.9468338647682601,145.63273615056974,0.3114984024063241,0.05987657549205117,0.7030876245805313,10.505840180265757,0.9467363203479282,28391.159948065004,1856,35.0,-118.16326530000003
mascon 1842,12390.17,0.9065397464121212,0.896806644432995,187,8.759522418656088,0.30533589176575826,13.669235111944614,16.09805216636633,11.383041850732424,0.026823752013712565,0.02233745262739288,0.02829997869790887,0.878889162249819,0.4446391068297519,0.5987250994215464,-0.5742337492213416,0.34380815859375513,0.15376791684570185,0.0977855938722315,122.2795174557726,0.19178894118700823,0.03299077550731368,-6.734723264685307,3.9454180778484025,0.09042894790282424,5559.310622081072,1842,38.0,-118.93992930000002
