lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
42.0,236.6292135,1.0,1.3483146,12379.21,80.0,1826,-123.37078650000001,41.5,42.5,-124.04494380000001,-122.6966292
42.0,237.9775281,1.0,1.3483146,12379.21,80.0,1827,-122.02247190000003,41.5,42.5,-122.69662920000003,-121.34831460000002
42.0,239.3258427,1.0,1.3483146,12379.21,80.0,1828,-120.67415729999999,41.5,42.5,-121.3483146,-119.99999999999999
41.0,237.1217712,1.0,1.3284133,12387.74,80.0,1830,-122.87822879999999,40.5,41.5,-123.54243544999999,-122.21402214999999
41.0,238.4501845,1.0,1.3284133,12387.74,80.0,1831,-121.54981550000002,40.5,41.5,-122.21402215000002,-120.88560885000003
41.0,239.7785978,1.0,1.3284133,12387.74,80.0,1832,-120.2214022,40.5,41.5,-120.88560885,-119.55719555
40.0,236.2909091,1.0,1.3090909,12392.33,80.0,1833,-123.70909089999998,39.5,40.5,-124.36363634999998,-123.05454544999998
40.0,237.6,1.0,1.3090909,12392.33,80.0,1834,-122.39999999999998,39.5,40.5,-123.05454544999998,-121.74545454999998
40.0,238.9090909,1.0,1.3090909,12392.33,80.0,1835,-121.09090909999998,39.5,40.5,-121.74545454999998,-120.43636364999998
39.0,236.7741935,1.0,1.2903226,12393.11,80.0,1836,-123.22580649999998,38.5,39.5,-123.87096779999997,-122.58064519999998
39.0,238.0645161,1.0,1.2903226,12393.11,80.0,1837,-121.93548390000001,38.5,39.5,-122.5806452,-121.29032260000001
39.0,239.3548387,1.0,1.2903226,12393.11,80.0,1838,-120.64516130000004,38.5,39.5,-121.29032260000004,-120.00000000000004
38.0,237.2438163,1.0,1.2720848,12390.17,80.0,1839,-122.75618370000001,37.5,38.5,-123.3922261,-122.12014130000001
38.0,238.5159011,1.0,1.2720848,12390.17,80.0,1840,-121.48409889999999,37.5,38.5,-122.12014129999999,-120.8480565
38.0,239.7879859,1.0,1.2720848,12390.17,80.0,1841,-120.21201410000003,37.5,38.5,-120.84805650000003,-119.57597170000004
38.0,241.0600707,1.0,1.2720848,12390.17,80.0,1842,-118.93992930000002,37.5,38.5,-119.57597170000001,-118.30388690000002
37.0,237.7003484,1.0,1.2543554,12383.61,80.0,1843,-122.2996516,36.5,37.5,-122.92682930000001,-121.6724739
37.0,238.9547038,1.0,1.2543554,12383.61,80.0,1844,-121.0452962,36.5,37.5,-121.6724739,-120.41811849999999
37.0,240.2090592,1.0,1.2543554,12383.61,80.0,1845,-119.79094079999999,36.5,37.5,-120.41811849999999,-119.16376309999998
37.0,241.4634146,1.0,1.2543554,12383.61,80.0,1846,-118.53658540000004,36.5,37.5,-119.16376310000004,-117.90940770000003
37.0,242.71777,1.0,1.2543554,12383.61,80.0,1847,-117.28223000000003,36.5,37.5,-117.90940770000003,-116.65505230000002
36.0,238.1443299,1.0,1.2371134,12373.54,80.0,1848,-121.8556701,35.5,36.5,-122.4742268,-121.2371134
36.0,239.3814433,1.0,1.2371134,12373.54,80.0,1849,-120.6185567,35.5,36.5,-121.2371134,-120.0
36.0,240.6185567,1.0,1.2371134,12373.54,80.0,1850,-119.3814433,35.5,36.5,-120.0,-118.7628866
36.0,241.8556701,1.0,1.2371134,12373.54,80.0,1851,-118.1443299,35.5,36.5,-118.7628866,-117.5257732
35.0,239.3877551,1.0,1.2244898,12402.09,80.0,1854,-120.61224490000001,34.5,35.5,-121.2244898,-120.00000000000001
35.0,240.6122449,1.0,1.2244898,12402.09,80.0,1855,-119.38775509999999,34.5,35.5,-119.99999999999999,-118.7755102
35.0,241.8367347,1.0,1.2244898,12402.09,80.0,1856,-118.16326530000003,34.5,35.5,-118.77551020000003,-117.55102040000004
34.0,241.0067114,1.0,1.2080537,12384.63,80.0,1859,-118.99328860000003,33.5,34.5,-119.59731545000002,-118.38926175000003
34.0,242.2147651,1.0,1.2080537,12384.63,80.0,1860,-117.78523489999998,33.5,34.5,-118.38926174999997,-117.18120804999998
42.0,242.0224719,1.0,1.3483146,12379.21,80.0,1865,-117.97752809999997,41.5,42.5,-118.65168539999998,-117.30337079999997
41.0,241.1070111,1.0,1.3284133,12387.74,80.0,1868,-118.89298889999998,40.5,41.5,-119.55719554999997,-118.22878224999998
41.0,242.4354244,1.0,1.3284133,12387.74,80.0,1869,-117.56457560000001,40.5,41.5,-118.22878225000001,-116.90036895000001
40.0,240.2181818,1.0,1.3090909,12392.33,80.0,1875,-119.78181819999998,39.5,40.5,-120.43636364999998,-119.12727274999997
40.0,241.5272727,1.0,1.3090909,12392.33,80.0,1876,-118.47272729999997,39.5,40.5,-119.12727274999997,-117.81818184999997
40.0,242.8363636,1.0,1.3090909,12392.33,80.0,1877,-117.16363639999997,39.5,40.5,-117.81818184999997,-116.50909094999997
39.0,240.6451613,1.0,1.2903226,12393.11,80.0,1882,-119.35483869999996,38.5,39.5,-119.99999999999996,-118.70967739999996
39.0,241.9354839,1.0,1.2903226,12393.11,80.0,1883,-118.06451609999999,38.5,39.5,-118.70967739999999,-117.4193548
38.0,242.3321555,1.0,1.2720848,12390.17,80.0,1889,-117.6678445,37.5,38.5,-118.3038869,-117.03180210000001
42.0,240.6741573,1.0,1.3483146,12379.21,80.0,2003,-119.32584270000001,41.5,42.5,-120.00000000000001,-118.6516854
