footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,mascon_id,lat,lon,cu_mm_month,_icf,cu_over_irrigated_mm_yr
mascon 1850,12373.54,52.07559529627272,42.68241882461931,187,318.4814290567542,7.621497740037139,14.543653088923463,16.645637231125427,11.770242963300054,0.6475225501972374,0.5240428724088392,0.5917090697450437,0.7810382000317201,0.3447599930943629,0.4596363102053838,-0.7316485976038622,0.3362922617695829,0.0139868476320722,0.8837415977031746,112.44493014959636,0.3520422236273779,0.0976893121294325,-0.0347725561036396,0.2363285769267787,0.8832949973307764,9.540040016287117,1850,36.0,-119.3814433,26.540119088062852,42.68241882461931,611.5752057078247
mascon 1837,12393.11,37.1233931269771,32.70726923241854,187,184.18624058603524,5.752663358582588,19.474010542743876,23.24057726467431,16.43356978254111,0.3500556138870186,0.2954020871024979,0.3807189007528073,0.8910242317156125,0.4480805657186287,0.6178841618518024,-0.5744138381145352,0.3549212129194765,0.1447444876099669,0.0888703220165199,139.78609780668725,0.2146889809161887,0.0323377987520034,-0.4706591506961122,0.274338396607544,0.0884966447031714,32.64268676207175,1837,39.0,-121.9354839,15.348853382169603,32.70726923241854,496.14602834402393
mascon 1840,12390.17,35.65332465515829,32.67061059037666,187,208.11095522983288,5.9689250929192506,17.2339763471324,21.641794377802373,15.303059561588956,0.3900478246782359,0.3463463667752122,0.4155799727830121,0.8700974182785723,0.3868424846945429,0.5467438956573126,-0.6329712116423671,0.3460731460922771,0.0628945914682835,0.5000984397769722,115.48659246902189,0.2508373807801228,0.050426442526232,-0.1964013059919652,0.2923590215500381,0.5031003440382473,26.29203919381628,1840,38.0,-121.4840989,17.342579602486072,32.67061059037666,583.7070097745388
mascon 1845,12383.61,32.38308534818446,28.460619712972694,187,185.86007619017096,6.636065836136534,14.27228558027642,17.55277063784078,12.411683146629336,0.534662846105502,0.4649616768674558,0.5596568126089339,0.818212571163567,0.2750908489317402,0.5506493716057439,-0.5786367320827007,0.3186259529093403,-0.0639470724504495,0.498964819024482,118.09926783134954,0.2287372770725833,0.0368259531523637,0.1407613909583985,0.2037799197638539,0.4911120806820667,13.992650269217863,1845,37.0,-119.7909408,15.488339682514246,28.460619712972694,573.941840907976
mascon 1844,12383.61,28.92147482456124,25.593044924476803,187,145.80075656988396,3.53404900352155,15.953439414314548,20.31074688026929,14.36186685000193,0.2460717008750903,0.2215227018915152,0.2559845759662935,0.8492588855628035,0.4289896826119788,0.475735925732102,-0.6794380620448551,0.3232330954245345,0.1638664631340743,0.0794295313137323,111.32509777476584,0.201474486830532,0.0665122503809887,-0.8867745918862701,0.5100678010713905,0.0849565095269568,66.05970789980537,1844,37.0,-121.0452962,12.15006304749033,25.593044924476803,504.1262848949332
mascon 1849,12373.54,16.04092616297647,11.918547523554754,187,83.76784833294563,2.547388060306863,16.28355748511068,19.67556757820076,13.91272725823993,0.1830976783360826,0.1564392831625483,0.1681266629877831,0.7131028708436241,0.2496758732347022,0.3540258402660227,-0.5525003778218834,0.1955994105056873,0.0693705332231276,0.4632363569914483,112.59604267834416,0.1680520563110111,0.0574600086295763,-0.4975515354831519,0.679776070666038,0.4657708480403392,119.31479964132772,1849,36.0,-120.6185567,6.980654027745469,11.918547523554754,522.2132904413427
mascon 1855,12402.09,15.913149810844764,12.962519348253986,187,72.42143369656044,2.0066728720682177,15.66700457504041,16.947904774089487,11.983978392662538,0.167446302581524,0.128082739904545,0.1430908184122097,0.6152890905370508,0.2899206273247857,0.4398702099298203,-0.7091692147640897,0.311942411374046,-0.0347803358998108,0.6939793953156472,132.08652506571332,0.2286542476592364,0.0541758698606489,0.3458887625118514,0.8718112702027486,0.6922089647349916,142.66218352847807,1855,35.0,-119.3877551,6.03511947471337,12.962519348253986,455.1043291706174
mascon 1834,12392.33,14.1348842937091,12.471678314332276,187,86.61979750700065,3.499312816069396,20.26108185292256,23.29222594749549,16.470090916403315,0.2124646933541981,0.1727110546944776,0.2156462245010024,0.8554072706163997,0.2967376324776816,0.5959043690945075,-0.4936783942534266,0.2941851120631777,0.0036549541676058,0.9646433555979532,150.45971600934627,0.18796338933942,0.0240057529802568,-0.0195418434051869,0.4394226770115047,0.9645886296572654,88.61075759635338,1834,40.0,-122.39999999999998,7.218316458916721,12.471678314332276,612.8086775040093
mascon 1841,12390.17,5.80280354240243,5.409569086985286,187,26.28943738881496,1.5081066624580266,14.958100174384006,18.55264495736421,13.11870105829864,0.1149585355864197,0.1008220726480147,0.1278083284210392,0.7697674349040408,0.174790661944264,0.6093934861230071,-0.370367911204737,0.225699792557151,-0.0691246273770682,0.4594104434732152,120.10334754188948,0.1385083923800568,0.0171874101622312,0.5852157762825291,0.7769221349703669,0.4528120556168078,302.6756931371056,1841,38.0,-120.21201410000003,2.190786449067913,5.409569086985286,453.04717274524205
mascon 1827,12379.21,5.674838456197313,4.880013777577949,187,17.746833129875657,0.5912132502017854,13.968826536460243,16.717768083025003,11.821247177811008,0.0500127644155447,0.0423237591689359,0.0498329688985219,0.8797008710614418,0.3029341623425274,0.5206761833141768,-0.4794750582774596,0.2496512433382501,0.0711181639964238,0.3845035126554076,153.36854257927038,0.2312958320824963,0.0374794036554791,-1.6347621811144608,1.8664515447053212,0.3824996641069616,1599.1833901248715,1827,42.0,-122.02247190000004,1.4789027608229715,4.880013777577949,312.72842860389966
