lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
41.0,43.1734317,1.0,1.3284133,12387.74,80.0,9045,43.17343170000001,40.5,41.5,42.50922505000001,43.837638350000006
41.0,44.501845,1.0,1.3284133,12387.74,80.0,9046,44.501845,40.5,41.5,43.837638350000006,45.16605165
41.0,45.8302583,1.0,1.3284133,12387.74,80.0,9047,45.8302583,40.5,41.5,45.16605165,46.494464949999994
41.0,47.1586716,1.0,1.3284133,12387.74,80.0,9048,47.15867159999999,40.5,41.5,46.494464949999994,47.82287824999999
41.0,48.4870849,1.0,1.3284133,12387.74,80.0,9049,48.48708490000001,40.5,41.5,47.82287825000002,49.15129155000001
40.0,42.5454545,1.0,1.3090909,12392.33,80.0,9050,42.545454500000005,39.5,40.5,41.890909050000005,43.199999950000006
40.0,43.8545455,1.0,1.3090909,12392.33,80.0,9051,43.8545455,39.5,40.5,43.20000005,44.50909095
40.0,45.1636364,1.0,1.3090909,12392.33,80.0,9052,45.1636364,39.5,40.5,44.50909095,45.81818185
40.0,46.4727273,1.0,1.3090909,12392.33,80.0,9053,46.4727273,39.5,40.5,45.81818185,47.12727275
40.0,47.7818182,1.0,1.3090909,12392.33,80.0,9054,47.781818200000004,39.5,40.5,47.12727275,48.436363650000004
40.0,49.0909091,1.0,1.3090909,12392.33,80.0,9055,49.090909100000005,39.5,40.5,48.436363650000004,49.745454550000005
39.0,43.2258065,1.0,1.2903226,12393.11,80.0,9056,43.225806500000004,38.5,39.5,42.580645200000006,43.8709678
39.0,44.516129,1.0,1.2903226,12393.11,80.0,9057,44.51612900000001,38.5,39.5,43.87096770000001,45.161290300000005
39.0,45.8064516,1.0,1.2903226,12393.11,80.0,9058,45.8064516,38.5,39.5,45.161290300000005,46.4516129
39.0,47.0967742,1.0,1.2903226,12393.11,80.0,9059,47.0967742,38.5,39.5,46.4516129,47.7419355
39.0,48.3870968,1.0,1.2903226,12393.11,80.0,9060,48.387096799999995,38.5,39.5,47.7419355,49.03225809999999
38.0,45.1590106,1.0,1.2720848,12390.17,80.0,9061,45.15901059999999,37.5,38.5,44.52296819999999,45.79505299999999
38.0,46.4310954,1.0,1.2720848,12390.17,80.0,9062,46.431095400000004,37.5,38.5,45.795053,47.067137800000005
38.0,47.7031802,1.0,1.2720848,12390.17,80.0,9063,47.70318019999999,37.5,38.5,47.06713779999999,48.33922259999999
37.0,45.7839721,1.0,1.2543554,12383.61,80.0,9064,45.7839721,36.5,37.5,45.1567944,46.4111498
37.0,47.0383275,1.0,1.2543554,12383.61,80.0,9065,47.03832750000001,36.5,37.5,46.41114980000001,47.665505200000005
37.0,48.2926829,1.0,1.2543554,12383.61,80.0,9066,48.29268289999999,36.5,37.5,47.66550519999999,48.919860599999986
37.0,49.5470383,1.0,1.2543554,12383.61,80.0,9067,49.5470383,36.5,37.5,48.9198606,50.174215999999994
36.0,46.3917526,1.0,1.2371134,12373.54,80.0,9068,46.39175259999999,35.5,36.5,45.77319589999999,47.01030929999999
36.0,47.628866,1.0,1.2371134,12373.54,80.0,9069,47.628866000000016,35.5,36.5,47.01030930000002,48.247422700000016
36.0,52.5773196,1.0,1.2371134,12373.54,80.0,9070,52.57731960000001,35.5,36.5,51.95876290000001,53.19587630000001
38.0,42.614841,1.0,1.2720848,12390.17,80.0,9080,42.61484100000001,37.5,38.5,41.97879860000001,43.25088340000001
38.0,43.8869258,1.0,1.2720848,12390.17,80.0,9081,43.8869258,37.5,38.5,43.2508834,44.5229682
37.0,43.2752613,1.0,1.2543554,12383.61,80.0,9086,43.27526130000001,36.5,37.5,42.648083600000014,43.90243900000001
37.0,44.5296167,1.0,1.2543554,12383.61,80.0,9087,44.52961669999999,36.5,37.5,43.902438999999994,45.15679439999999
36.0,42.6804124,1.0,1.2371134,12373.54,80.0,9091,42.680412399999994,35.5,36.5,42.061855699999995,43.298969099999994
36.0,43.9175258,1.0,1.2371134,12373.54,80.0,9092,43.91752579999999,35.5,36.5,43.298969099999994,44.53608249999999
36.0,45.1546392,1.0,1.2371134,12373.54,80.0,9093,45.15463919999999,35.5,36.5,44.53608249999999,45.77319589999999
35.0,43.4693878,1.0,1.2244898,12402.09,80.0,9098,43.46938779999999,34.5,35.5,42.85714289999999,44.08163269999999
35.0,44.6938776,1.0,1.2244898,12402.09,80.0,9099,44.69387760000001,34.5,35.5,44.08163270000001,45.30612250000001
35.0,45.9183673,1.0,1.2244898,12402.09,80.0,9100,45.9183673,34.5,35.5,45.3061224,46.5306122
35.0,47.1428571,1.0,1.2244898,12402.09,80.0,9101,47.142857100000015,34.5,35.5,46.530612200000014,47.755102000000015
34.0,42.885906,1.0,1.2080537,12384.63,80.0,9105,42.885906000000006,33.5,34.5,42.28187915000001,43.48993285
34.0,44.0939597,1.0,1.2080537,12384.63,80.0,9106,44.0939597,33.5,34.5,43.48993285,44.697986549999996
34.0,45.3020134,1.0,1.2080537,12384.63,80.0,9107,45.30201339999999,33.5,34.5,44.697986549999996,45.90604024999999
34.0,46.5100671,1.0,1.2080537,12384.63,80.0,9108,46.510067100000015,33.5,34.5,45.90604025000002,47.11409395000001
34.0,47.7181208,1.0,1.2080537,12384.63,80.0,9109,47.71812080000001,33.5,34.5,47.11409395000001,48.322147650000005
34.0,48.9261745,1.0,1.2080537,12384.63,80.0,9110,48.9261745,33.5,34.5,48.322147650000005,49.53020135
33.0,43.654485,1.0,1.1960133,12405.01,80.0,9114,43.654484999999994,32.5,33.5,43.05647834999999,44.252491649999996
33.0,44.8504983,1.0,1.1960133,12405.01,80.0,9115,44.8504983,32.5,33.5,44.252491649999996,45.44850495
33.0,46.0465116,1.0,1.1960133,12405.01,80.0,9116,46.0465116,32.5,33.5,45.44850495,46.644518250000004
33.0,47.2425249,1.0,1.1960133,12405.01,80.0,9117,47.24252490000001,32.5,33.5,46.644518250000004,47.84053155000001
33.0,48.4385382,1.0,1.1960133,12405.01,80.0,9118,48.43853820000001,32.5,33.5,47.84053155000001,49.03654485000001
33.0,49.6345515,1.0,1.1960133,12405.01,80.0,9119,49.634551499999986,32.5,33.5,49.036544849999984,50.23255814999999
32.0,43.0819672,1.0,1.1803279,12380.52,80.0,9123,43.08196720000001,31.5,32.5,42.49180325000001,43.672131150000006
32.0,44.2622951,1.0,1.1803279,12380.52,80.0,9124,44.26229510000002,31.5,32.5,43.67213115000002,44.852459050000014
32.0,45.442623,1.0,1.1803279,12380.52,80.0,9125,45.442623,31.5,32.5,44.85245905,46.032786949999995
32.0,46.6229508,1.0,1.1803279,12380.52,80.0,9126,46.62295080000001,31.5,32.5,46.032786850000015,47.21311475000001
32.0,47.8032787,1.0,1.1803279,12380.52,80.0,9127,47.80327869999999,31.5,32.5,47.213114749999995,48.39344264999999
32.0,48.9836066,1.0,1.1803279,12380.52,80.0,9128,48.9836066,31.5,32.5,48.393442650000004,49.57377055
32.0,50.1639344,1.0,1.1803279,12380.52,80.0,9129,50.16393440000002,31.5,32.5,49.57377045000002,50.754098350000014
32.0,51.3442623,1.0,1.1803279,12380.52,80.0,9130,51.3442623,31.5,32.5,50.75409835,51.934426249999994
31.0,43.8311688,1.0,1.1688312,12393.06,80.0,9131,43.8311688,30.5,31.5,43.2467532,44.4155844
