lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
34.0,271.2080537,1.0,1.2080537,12384.63,80.0,1439,-88.7919463,33.5,34.5,-89.39597315,-88.18791945000001
34.0,272.4161074,1.0,1.2080537,12384.63,80.0,1440,-87.58389260000001,33.5,34.5,-88.18791945000001,-86.97986575000002
33.0,270.89701,1.0,1.1960133,12405.01,80.0,1449,-89.10298999999998,32.5,33.5,-89.70099664999998,-88.50498334999997
33.0,272.0930233,1.0,1.1960133,12405.01,80.0,1450,-87.90697669999997,32.5,33.5,-88.50498334999997,-87.30897004999997
33.0,273.2890365,1.0,1.1960133,12405.01,80.0,1451,-86.71096349999999,32.5,33.5,-87.30897015,-86.11295684999999
32.0,269.704918,1.0,1.1803279,12380.52,80.0,1458,-90.29508199999998,31.5,32.5,-90.88524594999998,-89.70491804999997
32.0,270.8852459,1.0,1.1803279,12380.52,80.0,1459,-89.11475410000003,31.5,32.5,-89.70491805000003,-88.52459015000002
32.0,272.0655738,1.0,1.1803279,12380.52,80.0,1460,-87.93442620000002,31.5,32.5,-88.52459015000002,-87.34426225000001
32.0,273.2459016,1.0,1.1803279,12380.52,80.0,1461,-86.75409839999998,31.5,32.5,-87.34426234999998,-86.16393444999997
31.0,270.5844156,1.0,1.1688312,12393.06,80.0,1467,-89.4155844,30.5,31.5,-90.0,-88.8311688
31.0,271.7532468,1.0,1.1688312,12393.06,80.0,1468,-88.2467532,30.5,31.5,-88.8311688,-87.6623376
31.0,272.9220779,1.0,1.1688312,12393.06,80.0,1469,-87.07792210000002,30.5,31.5,-87.66233770000002,-86.49350650000002
30.0,271.4469453,1.0,1.1575563,12401.62,80.0,1475,-88.55305470000002,29.5,30.5,-89.13183285000002,-87.97427655000001
30.0,272.6045016,1.0,1.1575563,12401.62,80.0,1476,-87.39549840000001,29.5,30.5,-87.97427655000001,-86.81672025
36.0,267.8350515,1.0,1.2371134,12373.54,80.0,1731,-92.16494849999998,35.5,36.5,-92.78350519999998,-91.54639179999998
36.0,269.0721649,1.0,1.2371134,12373.54,80.0,1732,-90.92783509999998,35.5,36.5,-91.54639179999998,-90.30927839999998
36.0,270.3092784,1.0,1.2371134,12373.54,80.0,1733,-89.69072160000002,35.5,36.5,-90.30927830000002,-89.07216490000002
36.0,271.5463918,1.0,1.2371134,12373.54,80.0,1734,-88.45360820000002,35.5,36.5,-89.07216490000002,-87.83505150000002
36.0,272.7835052,1.0,1.2371134,12373.54,80.0,1735,-87.21649480000002,35.5,36.5,-87.83505150000002,-86.59793810000002
35.0,267.5510204,1.0,1.2244898,12402.09,80.0,1749,-92.44897959999997,34.5,35.5,-93.06122449999997,-91.83673469999998
35.0,268.7755102,1.0,1.2244898,12402.09,80.0,1750,-91.22448980000001,34.5,35.5,-91.83673470000001,-90.61224490000002
35.0,270.0,1.0,1.2244898,12402.09,80.0,1751,-90.0,34.5,35.5,-90.6122449,-89.3877551
35.0,271.2244898,1.0,1.2244898,12402.09,80.0,1752,-88.77551019999999,34.5,35.5,-89.38775509999998,-88.16326529999999
35.0,272.4489796,1.0,1.2244898,12402.09,80.0,1753,-87.55102040000003,34.5,35.5,-88.16326530000002,-86.93877550000003
34.0,267.5838926,1.0,1.2080537,12384.63,80.0,1764,-92.41610739999999,33.5,34.5,-93.02013424999998,-91.81208054999999
34.0,268.7919463,1.0,1.2080537,12384.63,80.0,1765,-91.2080537,33.5,34.5,-91.81208054999999,-90.60402685
34.0,270.0,1.0,1.2080537,12384.63,80.0,1766,-90.0,33.5,34.5,-90.60402685,-89.39597315
33.0,267.3089701,1.0,1.1960133,12405.01,80.0,1769,-92.69102989999999,32.5,33.5,-93.28903654999999,-92.09302324999999
33.0,268.5049834,1.0,1.1960133,12405.01,80.0,1770,-91.49501659999999,32.5,33.5,-92.09302324999999,-90.89700994999998
33.0,269.7009967,1.0,1.1960133,12405.01,80.0,1771,-90.29900329999998,32.5,33.5,-90.89700994999998,-89.70099664999998
32.0,267.3442623,1.0,1.1803279,12380.52,80.0,1772,-92.65573769999997,31.5,32.5,-93.24590164999998,-92.06557374999997
32.0,268.5245902,1.0,1.1803279,12380.52,80.0,1773,-91.47540980000002,31.5,32.5,-92.06557375000003,-90.88524585000002
31.0,267.0779221,1.0,1.1688312,12393.06,80.0,1774,-92.92207789999998,30.5,31.5,-93.50649349999998,-92.33766229999998
31.0,268.2467532,1.0,1.1688312,12393.06,80.0,1775,-91.7532468,30.5,31.5,-92.3376624,-91.1688312
31.0,269.4155844,1.0,1.1688312,12393.06,80.0,1776,-90.5844156,30.5,31.5,-91.1688312,-90.0
30.0,266.8167203,1.0,1.1575563,12401.62,80.0,1777,-93.18327970000001,29.5,30.5,-93.76205785000002,-92.60450155000001
30.0,267.9742765,1.0,1.1575563,12401.62,80.0,1778,-92.02572350000003,29.5,30.5,-92.60450165000003,-91.44694535000002
30.0,269.1318328,1.0,1.1575563,12401.62,80.0,1779,-90.86816720000002,29.5,30.5,-91.44694535000002,-90.28938905000001
30.0,270.2893891,1.0,1.1575563,12401.62,80.0,1780,-89.7106109,29.5,30.5,-90.28938905000001,-89.13183275
29.0,268.8535032,1.0,1.1464968,12406.28,80.0,1781,-91.14649680000002,28.5,29.5,-91.71974520000002,-90.57324840000003
29.0,270.0,1.0,1.1464968,12406.28,80.0,1782,-90.0,28.5,29.5,-90.5732484,-89.4267516
29.0,271.1464968,1.0,1.1464968,12406.28,80.0,1783,-88.85350319999998,28.5,29.5,-89.42675159999997,-88.28025479999998
