key,name,official,estado,municipio,lat,lon,namo_hm3,source,mascon_id,mascon_area_km2,mm_per_hm3,namo_mm,obs_min_hm3,obs_max_hm3,obs_range_hm3,obs_range_mm,n_months
29.45_-101.06,"La Amistad, Coah.","Internacional La Amistad, Coah.",Coahuila de Zaragoza,Acuña,29.446944,-101.057222,3980.081551714186,TWDB reservoir_storage,3140,12406.28,0.08060433909278204,320.8118430112964,749.3326164704096,4598.2690097982395,3848.93639332783,310.24097419434594,291
23.96_-98.67,"Las Adjuntas, Tamps.","Vicente Guerrero, Tamps.",Tamaulipas,Padilla,23.959444,-98.666389,3910.69,CONAGUA SINA almacenaactual,3242,12373.42,0.08081839944009013,316.05570650636605,305.54,4129.42,3823.88,309.03986125097185,276
26.56_-99.17,"Falcón, Tamps.","Internacional Falcón, Tamps.",Tamaulipas,Guerrero,26.560278,-99.170556,3288.6541264225357,TWDB reservoir_storage,3150,12404.16,0.08061811521296082,265.125097259511,294.8730246949112,3583.7125742146973,3288.839549519786,265.1400457201283,291
25.71_-99.28,"El Cuchillo, N.L.","Cuchillo Solidaridad, N.L.",Nuevo León,China,25.711667,-99.276944,1123.14294433594,CONAGUA SINA almacenaactual,3152,12397.52,0.08066129354903238,90.59416273060579,205.166,1760.08,1554.914,125.42137459750013,277
27.52_-100.62,"Don Martín, Coah.","Venustiano Carranza, Coah.",Coahuila de Zaragoza,Juárez,27.515,-100.616111,874.1,CONAGUA SINA almacenaactual,3145,12407.1,0.08059901185611464,70.4515962634298,27.456,1360.431,1332.9750000000001,107.43646782890441,277
26.2_-98.93,"El Azúcar, Tamps.","Marte Rodolfo Gómez, Tamps.",Tamaulipas,Camargo,26.204722,-98.925556,781.7,CONAGUA SINA almacenaactual,3153,12397.52,0.08066129354903238,63.05293316727862,157.31,1239.364,1082.054,87.2798753299047,277
22.24_-97.88,"Tampico, Tamps.","Sistema Lagunario del Río Tamesí, Tamps.",Tamaulipas,Tampico,22.238333,-97.876111,676.0,CONAGUA SINA almacenaactual,3249,12409.39,0.08058413830172152,54.47487749196375,6.62,973.1,966.48,77.88295798584782,111
22.6_-98.69,"Las Animas, Tamps.","Estudiante Ramiro Caballero Dorantes, Tamps.",Tamaulipas,González,22.605,-98.691667,563.443,CONAGUA SINA almacenaactual,3245,12393.41,0.08068804308095996,45.463113057665325,57.093,573.379,516.2860000000001,41.6581070100965,276
22.14_-102.42,"Calles, Ags.","Plutarco Elías Calles, Ags.",Aguascalientes,San José de Gracia,22.141111,-102.417222,358.121,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,28.858872192750813,24.66,250.923,226.263,18.233208884562416,277
24.94_-99.4,"Cerro Prieto, N.L.","José López Portillo, N.L.",Nuevo León,Linares,24.9375,-99.399722,300.0,CONAGUA SINA almacenaactual,3154,12387.25,0.08072816807604594,24.21845042281378,1.831,366.945,365.114,29.474984358917435,277
22.94_-98.79,"San Lorenzo, Tamps.","Lic. Emilio Portes Gil, Tamps.",Tamaulipas,Xicoténcatl,22.943889,-98.791389,230.78,CONAGUA SINA almacenaactual,3245,12393.41,0.08068804308095996,18.62118658222394,45.65,233.28,187.63,15.139497523280518,276
21.74_-98.16,"Chicayán, Ver.","Paso de Piedras, Ver.",Veracruz de Ignacio de la Llave,Pánuco,21.7375,-98.155833,220.0,CONAGUA SINA almacenaactual,3249,12409.39,0.08058413830172152,17.728510426378733,49.886,533.733,483.8469999999999,38.990393564873045,276
26.41_-99.23,"Las Blancas, Tamps.","Derivadora Las Blancas, Tamps.",Tamaulipas,Mier,26.408889,-99.233611,83.784,CONAGUA SINA almacenaactual,3152,12397.52,0.08066129354903238,6.75812581871213,9.738,86.923,77.185,6.225841942582065,271
23.26_-97.99,"Real Viejo o El Sombrero, Tamps.","República Española, Tamps.",Tamaulipas,Aldama,23.259444,-97.991944,54.7799987792969,CONAGUA SINA almacenaactual,3245,12393.41,0.08068804308095996,4.420090901478843,8.037,61.882,53.845,4.344647679694289,276
28.82_-100.83,"La Fragua, Coah","La Fragua, Coah.",Coahuila de Zaragoza,Jiménez,28.82,-100.832222,47.2949981689453,CONAGUA SINA almacenaactual,1814,12406.28,0.08060433909278204,3.8121820698021724,8.55,50.193,41.643,3.3566064928407227,276
25.43_-100.13,"La Boca, N.L.","Rodrigo Gómez, N.L.",Nuevo León,Santiago,25.428056,-100.128056,35.003,CONAGUA SINA almacenaactual,3154,12387.25,0.08072816807604594,2.825728067165836,2.871,42.655,39.784,3.2116894387374115,277
24.25_-99.56,"Pedro J. Méndez, Tamps.","Pedro José Méndez, Tamps.",Tamaulipas,Hidalgo,24.2475,-99.555833,31.2600002288818,CONAGUA SINA almacenaactual,3242,12373.42,0.08081839944009013,2.5263831849950784,3.619,33.45,29.831000000000003,2.4108936736973288,277
29.21_-100.95,"El Centenario, Coah.","El Centenario, Coah.",Coahuila de Zaragoza,Jiménez,29.213611,-100.95,24.5890007019043,CONAGUA SINA almacenaactual,3140,12406.28,0.08060433909278204,1.9819801505289498,4.66,25.25,20.59,1.6596433419203822,276
21.63_-100.55,"La Muñeca, S.L.P.","La Muñeca, S.L.P.",San Luis Potosí,Tierra Nueva,21.629444,-100.548333,24.14,CONAGUA SINA almacenaactual,3239,12409.39,0.08058413830172152,1.9453010986035575,4.588,25.117,20.529,1.6543117751960412,271
29.03_-100.95,"San Miguel, Coah.","San Miguel, Coah.",Coahuila de Zaragoza,Jiménez,29.034167,-100.953889,21.1679992675781,CONAGUA SINA almacenaactual,3140,12406.28,0.08060433909278204,1.7062325908796272,3.44,22.487,19.046999999999997,1.5352708467002194,276
27.43_-100.37,"Salinillas, N.L.","Salinillas, N.L.",Nuevo León,Anáhuac,27.429167,-100.372222,19.0109996795654,CONAGUA SINA almacenaactual,3149,12404.16,0.08061811521296082,1.5326309624807648,1.319,16.723,15.404,1.2418414467404484,277
21.78_-102.37,"El Niágara, Ags.","El Niágara, Ags.",Aguascalientes,Aguascalientes,21.78,-102.371667,16.1879997253418,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,1.3044960086951736,9.323,17.6,8.277000000000001,0.6669949127233491,277
21.92_-102.43,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.",Aguascalientes,Jesús María,21.916944,-102.427778,15.99,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,1.2885403714445272,0.979,16.206,15.227,1.2270546739203136,277
22.12_-102.36,"Derecha Jocoque, Ags.","Jocoque, Ags.",Aguascalientes,San José de Gracia,22.121667,-102.356944,10.9750003814697,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,0.8844109486018008,6.568,11.074,4.506,0.3631121271875572,276
21.88_-100.82,"Ojo Caliente, S.L.P.","Valentín Gama, S.L.P.",San Luis Potosí,Villa de Reyes,21.88,-100.820556,9.51000022888184,CONAGUA SINA almacenaactual,3239,12409.39,0.08058413830172152,0.7663551736936175,0.087,10.759,10.672,0.8599939239559722,240
22.09_-101.1,"El Peaje, S.L.P.","Gonzalo N. Santos, S.L.P.",San Luis Potosí,San Luis Potosí,22.092222,-101.098611,6.685,CONAGUA SINA almacenaactual,3239,12409.39,0.08058413830172152,0.5387049645470083,0.0,6.799,6.799,0.5478915563134047,275
22.0_-102.68,"La Codorniz, Ags.","La Codorniz, Ags.",Aguascalientes,Calvillo,21.9975,-102.676944,5.36600017547607,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,0.43241450026762557,0.416,5.787,5.3709999999999996,0.43281740681854625,276
22.15_-101.05,"San José, S.L.P.","San José, S.L.P.",San Luis Potosí,San Luis Potosí,22.150278,-101.054444,5.223,CONAGUA SINA almacenaactual,3239,12409.39,0.08058413830172152,0.4208909543498915,0.09,5.538,5.448,0.4390223854677789,276
22.19_-102.46,San José de Gracia,"Cincuenta Aniversario, Ags.",Aguascalientes,San José de Gracia,22.188611,-102.464167,4.1,CONAGUA SINA almacenaactual,3261,12409.39,0.08058413830172152,0.33039496703705823,1.425,4.253,2.8280000000000003,0.2278919431172685,118
