,monterrey_system_hm3
2002-04-01,641.52
2002-05-01,595.2919999999999
2002-06-01,557.835
2002-07-01,570.444
2002-08-01,557.787
2002-09-01,683.3169999999999
2002-10-01,1023.0519999999999
2002-11-01,1358.438
2002-12-01,1416.4299999999998
2003-01-01,1451.0969999999998
2003-02-01,1400.56
2003-03-01,1317.171
2003-04-01,1299.945
2003-05-01,1275.619
2003-06-01,1273.508
2003-07-01,1278.097
2003-08-01,1243.7040000000002
2003-09-01,1386.4689999999998
2003-10-01,1863.0379999999998
2003-11-01,2033.918
2003-12-01,2113.3950000000004
2004-01-01,2147.353
2004-02-01,2039.21
2004-03-01,2035.878
2004-04-01,2091.6380000000004
2004-05-01,1760.06
2004-06-01,1455.6809999999998
2004-07-01,1438.453
2004-08-01,1419.988
2004-09-01,1647.662
2004-10-01,1655.683
2004-11-01,1677.203
2004-12-01,1684.763
2005-01-01,1678.278
2005-02-01,1668.7679999999998
2005-03-01,1690.198
2005-04-01,1473.1380000000001
2005-05-01,1450.7
2005-06-01,1421.81
2005-07-01,1365.5769999999998
2005-08-01,1820.163
2005-09-01,1763.641
2005-10-01,1925.813
2005-11-01,1969.3450000000003
2005-12-01,1947.814
2006-01-01,1891.877
2006-02-01,1869.913
2006-03-01,1561.625
2006-04-01,1239.0159999999998
2006-05-01,1223.285
2006-06-01,1197.116
2006-07-01,1151.79
2006-08-01,1106.917
2006-09-01,1124.72
2006-10-01,1207.931
2006-11-01,1220.822
2006-12-01,1218.7549999999999
2007-01-01,1226.677
2007-02-01,1235.5240000000001
2007-03-01,1225.5090000000002
2007-04-01,1203.9859999999999
2007-05-01,1190.9589999999998
2007-06-01,1188.85
2007-07-01,1202.451
2007-08-01,1266.0700000000002
2007-09-01,1399.439
2007-10-01,1490.395
2007-11-01,1476.7649999999999
2007-12-01,1458.0369999999998
2008-01-01,1431.5500000000002
2008-02-01,1411.281
2008-03-01,1372.28
2008-04-01,1328.7970000000003
2008-05-01,1288.8870000000002
2008-06-01,1235.4309999999998
2008-07-01,1220.126
2008-08-01,1176.4629999999997
2008-09-01,1351.806
2008-10-01,1752.7700000000002
2008-11-01,1698.8329999999999
2008-12-01,1713.915
2009-01-01,1736.798
2009-02-01,1729.679
2009-03-01,1708.998
2009-04-01,1671.932
2009-05-01,1570.912
2009-06-01,1409.591
2009-07-01,1354.0430000000001
2009-08-01,1287.251
2009-09-01,1306.3780000000002
2009-10-01,1372.9080000000001
2009-11-01,1395.1480000000001
2009-12-01,1409.87
2010-01-01,1425.93
2010-02-01,1436.393
2010-03-01,1427.833
2010-04-01,1443.9270000000001
2010-05-01,1551.1419999999998
2010-06-01,1496.49
2010-07-01,1842.8239999999998
2010-08-01,1449.9279999999999
2010-09-01,1454.664
2010-10-01,1815.436
2010-11-01,1677.582
2010-12-01,1752.507
2011-01-01,1807.181
2011-02-01,1707.394
2011-03-01,1717.418
2011-04-01,1695.9
2011-05-01,1611.8400000000001
2011-06-01,1462.0140000000001
2011-07-01,1505.694
2011-08-01,1407.5019999999997
2011-09-01,1379.503
2011-10-01,1365.06
2011-11-01,1326.598
2011-12-01,1299.1129999999998
2012-01-01,1275.3509999999999
2012-02-01,1260.355
2012-03-01,1241.566
2012-04-01,1233.066
2012-05-01,1186.81
2012-06-01,1131.485
2012-07-01,1079.284
2012-08-01,1022.4860000000001
2012-09-01,983.38
2012-10-01,973.754
2012-11-01,938.65
2012-12-01,496.58899999999994
2013-01-01,481.00800000000004
2013-02-01,453.30499999999995
2013-03-01,424.17400000000004
2013-04-01,387.248
2013-05-01,363.464
2013-06-01,348.399
2013-07-01,317.831
2013-08-01,299.249
2013-09-01,331.299
2013-10-01,1278.2979999999998
2013-11-01,1130.487
2013-12-01,1192.036
2014-01-01,1293.527
2014-02-01,1332.4099999999999
2014-03-01,1349.851
2014-04-01,1354.123
2014-05-01,1342.034
2014-06-01,1269.028
2014-07-01,1241.397
2014-08-01,1210.469
2014-09-01,1296.118
2014-10-01,1532.8319999999999
2014-11-01,1544.895
2014-12-01,1633.9959999999999
2015-01-01,1704.3850000000002
2015-02-01,1774.357
2015-03-01,1829.135
2015-04-01,2010.575
2015-05-01,1851.7069999999999
2015-06-01,1559.757
2015-07-01,1523.0660000000003
2015-08-01,1382.394
2015-09-01,1367.109
2015-10-01,1358.26
2015-11-01,1375.829
2015-12-01,1369.593
2016-01-01,1360.374
2016-02-01,1338.833
2016-03-01,1315.7490000000003
2016-04-01,1273.013
2016-05-01,1283.7089999999998
2016-06-01,1276.501
2016-07-01,1223.356
2016-08-01,1171.524
2016-09-01,1181.1989999999998
2016-10-01,1251.025
2016-11-01,1279.84
2016-12-01,1315.137
2017-01-01,1326.4509999999998
2017-02-01,1311.8609999999999
2017-03-01,1305.353
2017-04-01,1292.271
2017-05-01,1253.0629999999999
2017-06-01,1222.309
2017-07-01,1178.883
2017-08-01,1130.984
2017-09-01,1079.229
2017-10-01,1233.4609999999998
2017-11-01,1027.784
2017-12-01,1027.237
2018-01-01,1031.806
2018-02-01,1022.818
2018-03-01,1010.117
2018-04-01,970.838
2018-05-01,952.733
2018-06-01,930.0719999999999
2018-07-01,921.5049999999999
2018-08-01,862.3820000000001
2018-09-01,856.97
2018-10-01,1126.224
2018-11-01,1063.0269999999998
2018-12-01,1088.99
2019-01-01,1093.0339999999999
2019-02-01,1082.987
2019-03-01,1062.284
2019-04-01,1054.579
2019-05-01,1037.49
2019-06-01,1007.913
2019-07-01,971.783
2019-08-01,917.9440000000001
2019-09-01,1229.095
2019-10-01,1146.372
2019-11-01,1043.268
2019-12-01,1034.295
2020-01-01,1017.086
2020-02-01,866.985
2020-03-01,834.708
2020-04-01,802.9399999999999
2020-05-01,778.615
2020-06-01,796.4200000000001
2020-07-01,778.876
2020-08-01,1138.941
2020-09-01,1148.0949999999998
2020-10-01,1257.7150000000001
2020-11-01,1237.401
2020-12-01,1206.523
2021-01-01,1175.6809999999998
2021-02-01,734.866
2021-03-01,716.539
2021-04-01,688.846
2021-05-01,663.7009999999999
2021-06-01,662.624
2021-07-01,690.6630000000001
2021-08-01,710.338
2021-09-01,673.922
2021-10-01,664.865
2021-11-01,687.049
2021-12-01,679.878
2022-01-01,655.374
2022-02-01,638.034
2022-03-01,614.7740000000001
2022-04-01,581.5070000000001
2022-05-01,562.8699999999999
2022-06-01,517.68
2022-07-01,483.04
2022-08-01,453.433
2022-09-01,819.2130000000001
2022-10-01,850.3230000000001
2022-11-01,845.044
2022-12-01,638.99
2023-01-01,622.669
2023-02-01,596.74
2023-03-01,561.6370000000001
2023-04-01,557.0889999999999
2023-05-01,601.7079999999999
2023-06-01,639.004
2023-07-01,604.728
2023-08-01,548.1089999999999
2023-09-01,508.99199999999996
2023-10-01,503.48999999999995
2023-11-01,516.395
2023-12-01,534.568
2024-01-01,526.681
2024-02-01,507.985
2024-03-01,487.90500000000003
2024-04-01,454.759
2024-05-01,419.47700000000003
2024-06-01,386.15600000000006
2024-07-01,1298.9950000000001
2024-08-01,1362.845
2024-09-01,1399.1580000000001
2024-10-01,1469.4669999999999
2024-11-01,1556.6019999999999
2024-12-01,1579.9950000000001
2025-01-01,1486.26
2025-02-01,1455.3619999999999
2025-03-01,1432.822
2025-04-01,1395.568
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
