mascon_id,lat_center,lon_180,area_km2,leakage_2sigma_cm,leakage_trend_cm_yr,nl_area_frac,chirps_cells,chirps_mm_yr,tws_trend_mm_yr,tws_p,res_trend_mm_yr,tws_trend_paired_mm_yr,n_months_reservoir_defined,minus_res_trend_mm_yr,minus_res_p,reservoir_share_of_tws_trend,tws_precipadj_trend_mm_yr,tws_precipadj_p,tws_frac_unexplained_by_precip,minus_res_precipadj_trend_mm_yr,minus_res_precipadj_p,minus_res_frac_unexplained_by_precip,grace_noise_2sigma_mm
1814,29.0,-100.3184713,12406.28,1.0554517370726528,0.2744905393903929,0.0,3,480.83307788544096,-9.400955005693913,9.392254469199868e-09,-0.033541283612214944,-9.060704742240258,243,-9.010451394135117,3.995009553483228e-08,0.00554629573910116,-7.194107414238003,1.4540036450330764e-09,0.7652528290881851,-7.17427141509071,4.973781764870362e-09,0.7962166490083313,13.007862185986285
1815,29.0,-99.17197449999998,12406.28,1.416078989811343,0.6000425752446366,0.0,2,617.1853787382854,-12.566105886779933,1.3784884118321137e-09,0.0,-12.566105886779933,255,-12.566105886779933,1.3784884118321137e-09,-0.0,-10.04590521673396,2.2933683968414557e-13,0.7994445779183407,-10.04590521673396,2.2933683968414557e-13,0.7994445779183407,14.87202999102455
1816,29.0,-98.0254777,12406.28,1.8683086699552276,0.7944675293555894,0.0,2,724.0252697836493,-14.266052367716043,5.519940618167158e-10,0.0,-14.266052367716043,255,-14.266052367716043,5.519940618167158e-10,-0.0,-11.87115059541141,1.488611620840311e-14,0.8321258249602198,-11.87115059541141,1.488611620840311e-14,0.8321258249602198,18.452877148216153
1819,28.0,-99.36908519999996,12407.1,1.2474113175277706,0.4726100674582709,0.022061278735313793,4,509.3484425913428,-10.954266032757918,7.47485800037849e-12,0.0,-10.954266032757918,255,-10.954266032757918,7.47485800037849e-12,-0.0,-9.363306240778797,3.111246739075027e-16,0.8547634513146318,-9.363306240778797,3.111246739075027e-16,0.8547634513146318,15.190729429557493
1820,28.0,-98.23343849999998,12407.1,1.5521103183749971,0.6691299058546029,0.0,6,642.9067060627888,-12.780151247752645,1.20725965348625e-13,0.0,-12.780151247752645,255,-12.780151247752645,1.20725965348625e-13,-0.0,-10.956083732848093,1.0732998745564168e-19,0.8572734015784587,-10.956083732848093,1.0732998745564168e-19,0.8572734015784587,17.766171312515436
1821,28.0,-97.09779179999998,12407.1,1.8486365853272864,0.6742352629381725,0.0,4,827.2673713546437,-12.659020490462353,1.0970940565013582e-13,0.0,-12.659020490462353,255,-12.659020490462353,1.0970940565013582e-13,-0.0,-10.613809780765095,7.101118826621469e-11,0.8384384707143673,-10.613809780765095,7.101118826621469e-11,0.8384384707143673,20.796840597330398
1822,27.0,-98.4375,12404.16,1.572510650587497,0.2283290754942059,0.0,4,572.4803694744701,-7.914377990627493,4.212131654583994e-10,0.0,-7.914377990627493,255,-7.914377990627493,4.212131654583994e-10,-0.0,-7.027963741704825,6.909420093140746e-15,0.8879995054605184,-7.027963741704825,6.909420093140746e-15,0.8879995054605184,17.96169372123734
1823,27.0,-97.3125,12404.16,1.862870742843818,0.2806036942122577,0.0,4,660.9778480677261,-8.301827787909946,2.4072838022320743e-11,0.0,-8.301827787909946,255,-8.301827787909946,2.4072838022320743e-11,-0.0,-7.107974398149416,1.241748731646132e-10,0.8561939105146034,-7.107974398149416,1.241748731646132e-10,0.8561939105146034,20.348114788221384
1824,26.0,-97.5232198,12397.52,1.9935384815064148,-0.2187183059331979,0.0,4,633.2485916442478,-2.614660270464846,0.008310050230642132,0.0,-2.614660270464846,255,-2.614660270464846,0.008310050230642132,-0.0,-0.571684529036836,0.5076779673727247,0.21864581624411167,-0.571684529036836,0.5076779673727247,0.21864581624411167,20.52988403270932
3139,29.0,-102.611465,12406.28,1.0119223905310542,-0.1939899088901595,0.0,2,362.6942108832684,-4.529219694843874,3.497268620751557e-05,0.0,-4.529219694843874,255,-4.529219694843874,3.497268620751557e-05,-0.0,-5.176436678132968,6.355490194009127e-11,1.1428981208453841,-5.176436678132968,6.355490194009127e-11,1.1428981208453841,12.214384042466937
3140,29.0,-101.4649682,12406.28,0.9497212788680592,-0.0372147245285804,0.0,2,486.2230961593156,-6.278420938659857,7.259000517767179e-07,-4.709729683495594,-5.981057452890498,243,0.8322071811510091,0.8117561468311982,1.1391404760288373,-6.5521863932223985,5.759997197397642e-13,1.043604189212101,2.0385805906480927,0.4647341146627461,2.44960706518847,12.257356331154483
3144,28.0,-101.6403785,12407.1,0.9685624638583702,-0.0359941945406699,0.0,4,457.95498766849954,-5.839044628357579,3.3566934854171654e-07,0.0,-5.839044628357579,255,-5.839044628357579,3.3566934854171654e-07,-0.0,-6.4543033314915546,6.178266915362183e-17,1.1053697552072037,-6.4543033314915546,6.178266915362183e-17,1.1053697552072037,13.205012468693536
3145,28.0,-100.50473190000002,12407.1,1.0272301701801605,0.1967546657159212,0.08553395415467663,4,441.4683155300691,-8.220368354396369,1.662434477501884e-09,-0.829796740933865,-7.934952183747168,244,-6.653606257688381,2.502937056288788e-07,0.16148124101910966,-6.644851926884736,7.940317428000384e-15,0.8083399235182661,-6.438007000173831,1.7595176581523087e-06,0.9675966311854688,13.70908184348579
3148,27.0,-101.8125,12404.16,1.133212092593306,-0.1351588215932304,0.0,6,337.7051065754645,-4.382739304266613,1.7780254927212406e-05,0.0,-4.382739304266613,255,-4.382739304266613,1.7780254927212406e-05,-0.0,-5.185045670446002,4.159941925440864e-06,1.1830604812379193,-5.185045670446002,4.159941925440864e-06,1.1830604812379193,14.561913892855953
3149,27.0,-100.6875,12404.16,1.144550989715098,-0.0673175474558043,0.48199850609899886,4,403.7594776055247,-5.159321943293335,2.334317287129052e-06,0.011242038775465634,-4.870145137354788,244,-4.883221964276675,1.2902585528155429e-05,-0.002685100043854121,-4.405049419532336,1.4967979119085617e-11,0.8538039432213593,-4.574872352392745,3.6475411565141395e-11,0.9368552946927933,14.520741748938839
3150,27.0,-99.5625,12404.16,1.3316320148432716,0.0790571021977538,0.4276917134239177,4,484.09641109791005,-6.573197808274404,3.244396385074327e-08,-4.444401882370795,-6.573197808274404,255,-1.7586462640694087,0.31749234216883987,0.7324519487523092,-5.417475811046295,2.0567174469810776e-13,0.8241765985235868,-2.391459448011796,0.16560873305600204,1.359829714975252,16.06961802481062
3151,26.0,-100.86687310000002,12397.52,1.2977739869707716,-0.3280624350395359,0.5515383100166942,4,342.82071379656645,-2.104876683987781,0.028186677018389443,0.0,-2.104876683987781,255,-2.104876683987781,0.028186677018389443,-0.0,-2.588186816500998,0.0002065905369228519,1.2296144644433822,-2.588186816500998,0.0002065905369228519,1.2296144644433822,15.374562993211686
3152,26.0,-99.752322,12397.52,1.4720956656144744,-0.3481779195347746,0.9684034157614405,6,577.3600836267177,-1.7861110193543102,0.06581625468523143,-1.92203077764534,-1.7597816630850875,240,0.6613890871919974,0.4427264211673725,1.3758358784307996,-0.049546541938561006,0.946813855647509,0.027739900488645088,1.430674646340594,0.13482412805038604,2.163136153961484,16.511050335514394
3153,26.0,-98.63777090000002,12397.52,1.6606303762633894,-0.2950089799555238,0.31753332589441285,4,573.3662852798541,-2.0917161472574897,0.036212790999989086,-0.47701597688430986,-1.8559122069566651,244,-1.1412801820360308,0.1423312028864641,0.38505702060793695,-0.8775294165795842,0.37108575457472764,0.4195260517208029,-0.5634181040705208,0.4915626051381869,0.4936720298300365,17.98495301241574
3154,25.0,-99.9386503,12387.25,1.3974082234095089,-0.5764786694253631,0.913246519338655,4,654.1424345232776,0.9053260538745604,0.3616228516752655,-0.671776622591998,1.1480800623524274,244,1.971011666175369,0.04628008945502649,-0.716789386740805,2.0421605132185525,0.00573633442154279,2.2557182624742054,2.757830818709612,0.00033431903645765804,1.399195583687751,16.73024211210359
3226,26.0,-101.98142410000004,12397.52,1.1737160055810114,-0.2234131317727231,0.0,4,299.9092052707967,-3.055254353947813,0.002228303192521965,0.0,-3.055254353947813,255,-3.055254353947813,0.002228303192521965,-0.0,-3.909330086508317,0.0002802564983905488,1.279543250288448,-3.909330086508317,0.0002802564983905488,1.279543250288448,15.171017376951635
3230,25.0,-102.14723930000002,12387.25,1.052302935566943,-0.1996253220614972,0.0,4,349.76776170361904,-2.9758605746465863,0.005149077902455951,0.0,-2.9758605746465863,255,-2.9758605746465863,0.005149077902455951,-0.0,-2.3390594218337553,0.0008848814330664832,0.7860110926438623,-2.3390594218337553,0.0008848814330664832,0.7860110926438623,15.066209366632226
3231,25.0,-101.0429448,12387.25,1.1906448830830805,-0.4141543389261499,0.20087602158476447,4,414.43088865771733,-0.9154998113551791,0.3517885629950219,0.0,-0.9154998113551791,255,-0.9154998113551791,0.3517885629950219,-0.0,-1.0275916991599228,0.12169281076898303,1.1224379146936343,-1.0275916991599228,0.12169281076898303,1.1224379146936343,15.729358647534177
3233,24.0,-102.31003040000002,12373.42,0.9453794155493188,-0.0478361900432455,0.0,6,377.91224405323106,-4.389274786499449,0.0001485142024690895,0.0,-4.389274786499449,255,-4.389274786499449,0.0001485142024690895,-0.0,-2.1087330131730733,0.014562889278993704,0.4804285709473291,-2.1087330131730733,0.014562889278993704,0.4804285709473291,15.672124843622006
3234,24.0,-101.2158055,12373.42,1.1024600704017729,-0.2744857871087779,0.006401218054905186,4,375.0535409290766,-2.271567765748407,0.02516862706212844,0.0,-2.271567765748407,255,-2.271567765748407,0.02516862706212844,-0.0,-2.1546156340224574,0.0036730270994560004,0.9485147951606816,-2.1546156340224574,0.0036730270994560004,0.9485147951606816,16.072833648554695
3235,24.0,-100.1215805,12373.42,1.3129073735357073,-0.5045001183179956,0.8194210682046034,4,549.5261811841395,0.2564344895136201,0.7878923190697175,0.0,0.2564344895136201,255,0.2564344895136201,0.7878923190697175,0.0,0.5733996866883688,0.40664319868955995,2.2360474512454913,0.5733996866883688,0.40664319868955995,2.2360474512454913,16.99301707562251
3237,23.0,-101.69184289999998,12393.41,0.9457498173828056,0.0619634030132289,0.0,4,398.5191640657248,-5.829131497830534,3.15523303350518e-06,0.0,-5.829131497830534,255,-5.829131497830534,3.15523303350518e-06,-0.0,-5.500784226110072,3.904458085472687e-06,0.9436713219040151,-5.500784226110072,3.904458085472687e-06,0.9436713219040151,16.421652469491526
3238,23.0,-100.6042296,12393.41,1.1240426660172227,-0.133328981045177,0.09399459235164842,4,438.19139621306937,-3.840851360396126,0.00039080148002760835,0.0,-3.840851360396126,255,-3.840851360396126,0.00039080148002760835,-0.0,-3.3043510629030775,4.564701486947078e-05,0.860317349683192,-3.3043510629030775,4.564701486947078e-05,0.860317349683192,17.069563604278144
3239,22.0,-101.0810811,12409.39,1.1897890053469855,0.2396061642844157,0.0,4,432.05728347768485,-8.107087882056646,7.29730509283011e-08,-0.012460616297396082,-8.94286897075938,208,-8.925412164303244,1.2927982319646902e-05,0.0019520364788093907,-7.1437456024635955,4.1174383155442816e-08,0.8811728337464789,-7.817610962748072,1.1020678170650714e-05,0.8758823479339396,17.824164814635765
3240,25.0,-98.83435580000004,12387.25,1.6794763485750763,-0.633485740571575,0.34267630994186804,4,716.9153682349884,1.855237056299197,0.0752981047665971,0.0,1.855237056299197,255,1.855237056299197,0.0752981047665971,0.0,4.0366921980006865,3.721914347118946e-05,2.175836335467031,4.0366921980006865,3.721914347118946e-05,2.175836335467031,18.86641513445854
3241,25.0,-97.7300613,12387.25,2.105565436005872,-0.5787450229598429,0.0,5,671.5564271592602,1.744287617015381,0.09989211973396184,0.0,1.744287617015381,255,1.744287617015381,0.09989211973396184,0.0,3.0139532973213514,9.151815146396324e-05,1.7278992684007426,3.0139532973213514,9.151815146396324e-05,1.7278992684007426,22.52709794414438
3242,24.0,-99.02735560000002,12373.42,1.6424398024985396,-0.6509063177522929,0.01511855381797068,4,761.3158081855971,2.251135512219859,0.026233790644283692,0.5036055845401813,2.4022092460879763,243,2.174326997596418,0.7024586761189691,0.09486361309393294,3.797925681919157,1.6456968748510475e-06,1.6871155296084321,-0.15024632535731408,0.9582354491067078,-0.06910015168988011,19.487895803950877
3243,24.0,-97.9331307,12373.42,2.1563872481477877,-0.6594428060119789,0.0,4,733.9583383024353,2.981636644167192,0.00582338557799765,0.0,2.981636644167192,255,2.981636644167192,0.00582338557799765,0.0,3.489759406904991,2.9686072150349506e-06,1.1704173993607876,3.489759406904991,2.9686072150349506e-06,1.1704173993607876,24.08038727324778
3244,23.0,-99.5166163,12393.41,1.4092189219849185,-0.3311044357424857,0.013145171640910017,4,787.9094144978474,-1.3514048033391086,0.16472691246204557,0.0,-1.3514048033391086,255,-1.3514048033391086,0.16472691246204557,-0.0,-0.18516757750838053,0.7724507944308981,0.13701858765845776,-0.18516757750838053,0.7724507944308981,0.13701858765845776,19.001200382348284
3245,23.0,-98.42900300000002,12393.41,1.863423782826239,-0.4479752677848891,0.0,4,869.3013769818335,0.5603011609676227,0.5718002779864272,-0.7213701125350475,0.5517278789273368,243,1.4993483162302694,0.10057379465215359,-1.7175503966652652,3.2392518972520765,3.821087268607737e-05,5.781269293923984,3.6963006934495084,1.3335791233319156e-06,2.4652715139220738,22.80409066125024
3246,23.0,-97.34138969999998,12393.41,2.6087239081983866,-0.4301985650195503,0.0,2,938.611808695744,1.1775181311092502,0.2736590804873054,0.0,1.1775181311092502,255,1.1775181311092502,0.2736590804873054,0.0,3.443408553617352,0.00019032732160298487,2.9242934462279395,3.443408553617352,0.00019032732160298487,2.9242934462279395,28.851993791719707
3247,22.0,-100.0,12409.39,1.288064578728045,0.1029596435784946,0.0,4,545.1582142065481,-6.4344128890795105,4.124725367817315e-06,0.0,-6.4344128890795105,255,-6.4344128890795105,4.124725367817315e-06,-0.0,-6.874707121169264,5.889071995043008e-11,1.0684280352659714,-6.874707121169264,5.889071995043008e-11,1.0684280352659714,18.766164750161536
3248,22.0,-98.9189189,12409.39,1.5633458642180356,-0.0451287027722334,0.0,4,1181.6378061550179,-4.195362506466803,0.0009395718182633197,0.0,-4.195362506466803,255,-4.195362506466803,0.0009395718182633197,-0.0,-3.0626350600357766,6.259018558798317e-05,0.7300048697377113,-3.0626350600357766,6.259018558798317e-05,0.7300048697377113,21.40548274353318
