mascon_id,lat_center,lon_180,area_km2,leakage_2sigma_cm,leakage_trend_cm_yr,nl_area_frac,chirps_cells,chirps_mm_yr,tws_trend_mm_yr,tws_p,res_trend_mm_yr,tws_trend_paired_mm_yr,n_months_reservoir_defined,minus_res_trend_mm_yr,minus_res_p,reservoir_share_of_tws_trend,tws_precipadj_trend_mm_yr,tws_precipadj_p,tws_frac_unexplained_by_precip,minus_res_precipadj_trend_mm_yr,minus_res_precipadj_p,minus_res_frac_unexplained_by_precip,grace_noise_2sigma_mm,land_frac,dist_km,post2020_tws_mm,post2020_minusres_mm,post2020_csr_mm,pre2020_tws_mm,drought_tws_mm,drought_minusres_mm,drought_csr_mm,predrought_tws_mm,drought_drawdown_mm,drought_drawdown_minusres_mm,post2020_cum_precip_cm,drought_cum_precip_cm,csr_r,csr_trend_mm_yr,basin,country
1814,29.0,-100.3184713,12406.28,1.0554517370726528,0.2744905393903929,0.0,3,480.83307788544096,-9.400955005693913,9.392254469199868e-09,-0.0335412836122149,-9.060704742240258,243,-9.010451394135115,3.995009553483229e-08,0.0055462957391011,-7.194107414238003,1.454003645033076e-09,0.7652528290881851,-7.17427141509071,4.973781764870362e-09,0.7962166490083313,13.007862185986284,1.0,338.22419515938367,-163.68979373468707,-154.3156548590705,-101.12977422694352,-70.86672826452802,-152.84352749679238,-153.34012956656034,-86.17328185958246,-68.88206297438592,-83.96146452240646,-84.61939595296768,-16.949120503591736,-15.243850089625187,0.8880969761783125,-5.569149833898761,1004.0,United States
1815,29.0,-99.17197449999998,12406.28,1.416078989811343,0.6000425752446366,0.0,2,617.1853787382854,-12.566105886779932,1.3784884118321135e-09,0.0,-12.566105886779932,255,-12.566105886779932,1.3784884118321135e-09,-0.0,-10.04590521673396,2.293368396841456e-13,0.7994445779183407,-10.04590521673396,2.293368396841456e-13,0.7994445779183407,14.87202999102455,1.0,338.4581152998932,-211.79473959517975,-211.79473959517975,-87.76622550922663,-97.38910484293268,-201.26452484043935,-201.26452484043935,-83.57800838771759,-98.5103498181949,-102.75417502224448,-102.75417502224448,-18.525364048197805,-21.1532006623202,0.8241589805763774,-4.788684563980036,1004.0,United States
1816,29.0,-98.0254777,12406.28,1.868308669955228,0.7944675293555894,0.0,2,724.0252697836493,-14.266052367716044,5.519940618167158e-10,0.0,-14.266052367716044,255,-14.266052367716044,5.519940618167158e-10,-0.0,-11.87115059541141,1.4886116208403113e-14,0.8321258249602198,-11.87115059541141,1.4886116208403113e-14,0.8321258249602198,18.45287714821616,1.0,374.53359442232266,-236.11112679839135,-236.11112679839135,-65.24292739440774,-113.6600554469559,-228.8450973133246,-228.8450973133246,-72.65866478275274,-114.70049219826858,-114.14460511505602,-114.14460511505602,-15.380287960159723,-15.684043067140516,0.7260959759000382,-3.5228426099764825,1004.0,United States
1819,28.0,-99.36908519999996,12407.1,1.2474113175277706,0.4726100674582709,0.0220612787353137,4,509.3484425913428,-10.954266032757918,7.47485800037849e-12,0.0,-10.954266032757918,255,-10.954266032757918,7.47485800037849e-12,-0.0,-9.363306240778796,3.111246739075027e-16,0.8547634513146318,-9.363306240778796,3.111246739075027e-16,0.8547634513146318,15.190729429557493,1.0,225.607305281932,-185.6038410246269,-185.6038410246269,-72.40853913182318,-80.93753270561704,-179.7053222715751,-179.7053222715751,-69.49352367388947,-85.89917652880668,-93.80614574276844,-93.80614574276844,-20.61978082251329,-18.411302234411927,0.8171639008675567,-3.9681090550293847,1004.0,United States
1820,28.0,-98.23343849999998,12407.1,1.5521103183749971,0.6691299058546029,0.0,6,642.9067060627888,-12.780151247752643,1.20725965348625e-13,0.0,-12.780151247752643,255,-12.780151247752643,1.20725965348625e-13,-0.0,-10.956083732848091,1.0732998745564168e-19,0.8572734015784587,-10.956083732848091,1.0732998745564168e-19,0.8572734015784587,17.766171312515436,1.0,268.5112969749891,-212.79831508524305,-212.79831508524305,-48.1467467556923,-97.46919792342104,-208.93392363118213,-208.93392363118213,-54.92102688386232,-104.94260366188568,-103.99131996929648,-103.99131996929648,-13.05606946221534,-10.316535638329224,0.7098174532283149,-2.598666413454712,1004.0,United States
1821,28.0,-97.09779179999998,12407.1,1.8486365853272864,0.6742352629381725,0.0,4,827.2673713546437,-12.659020490462352,1.0970940565013585e-13,0.0,-12.659020490462352,255,-12.659020490462352,1.0970940565013585e-13,-0.0,-10.613809780765097,7.101118826621469e-11,0.8384384707143673,-10.613809780765097,7.101118826621469e-11,0.8384384707143673,20.7968405973304,0.75,344.3987431693093,-208.4238263487609,-208.4238263487609,-16.07998739907681,-98.98357130949282,-206.7992952386331,-206.7992952386331,-17.008982543065105,-103.5009902636003,-103.2983049750328,-103.2983049750328,-21.10416186840604,-11.998035863093026,0.452290155532681,-0.688809169972231,1004.0,United States
1822,27.0,-98.4375,12404.16,1.572510650587497,0.2283290754942059,0.0,4,572.4803694744701,-7.914377990627493,4.212131654583994e-10,0.0,-7.914377990627493,255,-7.914377990627493,4.212131654583994e-10,-0.0,-7.027963741704825,6.909420093140746e-15,0.8879995054605184,-7.027963741704825,6.909420093140746e-15,0.8879995054605184,17.96169372123734,1.0,171.70530769359638,-133.9624033807673,-133.9624033807673,-29.162325489526257,-53.03481797201352,-132.2145837345678,-132.2145837345678,-49.30116617881383,-54.9508422618318,-77.263741472736,-77.263741472736,-6.902182929727733,-5.529160436752138,0.6451824473433025,-1.5153371824640638,1004.0,United States
1823,27.0,-97.3125,12404.16,1.862870742843818,0.2806036942122577,0.0,4,660.9778480677261,-8.301827787909946,2.4072838022320743e-11,0.0,-8.301827787909946,255,-8.301827787909946,2.4072838022320743e-11,-0.0,-7.107974398149416,1.241748731646132e-10,0.8561939105146034,-7.107974398149416,1.241748731646132e-10,0.8561939105146034,20.348114788221384,0.588,267.0353177537617,-138.8825352853785,-138.8825352853785,-7.324789492439012,-58.16223063175049,-139.8549910094589,-139.8549910094589,-8.323701269791062,-60.96714950166643,-78.88784150779247,-78.88784150779247,-6.556008612537601,-3.1226942611108823,0.3498236639812571,-0.187348276669633,1004.0,United States
1824,26.0,-97.5232198,12397.52,1.9935384815064148,-0.2187183059331979,0.0,4,633.2485916442478,-2.614660270464846,0.0083100502306421,0.0,-2.614660270464846,255,-2.614660270464846,0.0083100502306421,-0.0,-0.571684529036836,0.5076779673727247,0.2186458162441116,-0.571684529036836,0.5076779673727247,0.2186458162441116,20.52988403270932,0.89,222.77675619846235,-47.01214065139907,-47.01214065139907,-2.6379700991837214,-5.7600723443966775,-45.80951652313686,-45.80951652313686,-3.656638148076792,-0.2586361804149216,-45.55088034272193,-45.55088034272193,-12.36679366425161,-8.586376836660438,0.5498596588494599,0.0843212412067693,1004.0,United States
3139,29.0,-102.611465,12406.28,1.0119223905310542,-0.1939899088901595,0.0,2,362.6942108832684,-4.529219694843874,3.497268620751557e-05,0.0,-4.529219694843874,255,-4.529219694843874,3.497268620751557e-05,-0.0,-5.176436678132968,6.355490194009127e-11,1.142898120845384,-5.176436678132968,6.355490194009127e-11,1.142898120845384,12.214384042466936,1.0,436.7683431254696,-89.31581409983336,-89.31581409983336,-127.9735313406614,-32.35768087549757,-76.59114752026895,-76.59114752026895,-78.92057235305728,-26.242788018115487,-50.34835950215346,-50.34835950215346,0.1622624854552907,6.351578357723461,0.8861608008923254,-6.969335202443957,2001.0,Mexico
