,gsfc,csr
2002-04-01,44.812786634978835,22.615046853372778
2002-05-01,17.416714122742118,11.435591811066423
2002-08-01,29.76697252531022,14.812951734231305
2002-09-01,12.620823651627472,4.094858274285542
2002-10-01,44.27975157419372,32.47992431557286
2002-11-01,29.201188774079313,30.61938624454588
2002-12-01,19.232938929948237,15.430180319230471
2003-01-01,29.54153810448736,15.98540025803019
2003-02-01,18.549858709942573,12.140278411142296
2003-03-01,8.264647799096597,17.88527105377136
2003-04-01,6.7750611294898615,18.486829828236583
2003-05-01,17.78370040741915,19.925948084226864
2003-07-01,13.190632451608781,11.357441547405623
2003-08-01,16.96859871279422,18.020865985921745
2003-09-01,15.719251775024881,9.976448601946133
2003-10-01,4.800923489398214,0.11349263965265599
2003-11-01,9.523035876853225,8.990899594477895
2003-12-01,30.191034085907784,26.055946301482834
2004-01-01,35.60655031029169,38.33099670689951
2004-02-01,17.776483980729914,26.423162224724173
2004-03-01,0.10322433777081355,5.9352135011294775
2004-04-01,16.407307952364427,19.2414448275705
2004-05-01,2.572462436581656,1.368531762967787
2004-06-01,-1.6698072281558018,-0.7344057077623138
2004-07-01,22.19697712179394,17.22707657651141
2004-08-01,-3.4009845162467545,-8.969623811117053
2004-09-01,4.863802410454117,-10.944487836238409
2004-10-01,4.557330380386398,-8.172784943762254
2004-11-01,16.95667757625079,12.195518278641963
2004-12-01,20.03456739744256,16.01053584558027
2005-01-01,11.355932125262322,9.638104663908587
2005-02-01,29.61121892368722,21.31594476825501
2005-03-01,24.628313126699,20.155290836997143
2005-04-01,7.477089635732294,9.369189926441575
2005-05-01,16.140727872338203,20.330338252157294
2005-06-01,9.050344313324752,11.554972818192704
2005-07-01,-5.423152823688186,-2.792526958464457
2005-08-01,-0.1743094842368445,-8.339404306213197
2005-09-01,14.83575748937617,5.32218691844035
2005-10-01,12.658852586395017,10.379321774363273
2005-11-01,13.457032648585441,18.537974664388134
2005-12-01,20.234368870837894,23.686536766198657
2006-01-01,4.43579602730993,7.1439304094238985
2006-02-01,21.49424116462617,16.528780662866396
2006-03-01,18.94304286292661,26.074920545093
2006-04-01,13.208388758189678,20.307258442906015
2006-05-01,-10.389859501172806,-0.4075374469423532
2006-06-01,1.140563480966076,-1.177259878759657
2006-07-01,-9.504946447394179,-14.805292927449731
2006-08-01,-3.4641255229575263,-4.796702789303352
2006-09-01,-5.387679623789544,-1.5659337143593823
2006-10-01,-7.3885022177277095,1.993502720125346
2006-11-01,5.160169419768215,12.150600474324968
2006-12-01,22.20188428276453,17.304894316787838
2007-01-01,20.88037470143371,18.00765723705872
2007-02-01,10.978448095590567,15.710386210135411
2007-03-01,-2.7808566125769056,8.127111137163293
2007-04-01,0.1865249488519961,7.27818307578839
2007-05-01,-3.856940366607681,-1.7961105613235262
2007-06-01,0.5749253240228719,3.1579067894261947
2007-07-01,-3.896209490659872,-4.643413514684823
2007-08-01,-6.146704383828482,-3.270015025710986
2007-09-01,-10.890157626424653,-13.723932992717536
