mascon_id,lat_center,lon_center,country_of_center,tws_trend_cm_per_yr,gws_trend_cm_per_yr,gws_p_value,gws_model_spread_cm_per_yr,n_models
9237,27.0,42.1875,Saudi Arabia,-2.1042802965525613,-2.2601069617391185,5.4573053777963065e-62,0.3112830255856522,3
9246,26.0,42.91021670000001,Saudi Arabia,-2.127997096278466,-2.231466853435445,6.06117616123417e-94,0.1998673186344639,3
9248,26.0,45.139318900000006,Saudi Arabia,-1.814083691234433,-1.8399991246578573,2.493058529371473e-123,0.1686888027969206,3
9155,31.0,37.98701299999999,Saudi Arabia,-1.5514437709909843,-1.6451969131934534,6.34584527315966e-66,0.262468767516048,3
9225,28.0,38.044164,Saudi Arabia,-1.417535564039463,-1.5058232103173572,6.3393818218769e-116,0.2238517714974901,3
9249,26.0,46.253870000000006,Saudi Arabia,-1.3486168163714125,-1.3794643562832178,5.93048110353427e-105,0.1621054014926382,3
9268,24.0,44.316109400000016,Saudi Arabia,-1.157960826509011,-1.1768479974939714,6.582094790699973e-127,0.046326971206819,3
9270,24.0,46.50455929999998,Saudi Arabia,-0.935551701984084,-0.910979618934562,3.2417396429815455e-103,0.0694631669317662,3
9284,23.0,44.048338400000006,Saudi Arabia,-0.6268974526613141,-0.6378948680672588,1.0376995228247096e-89,0.0357560670404634,3
9272,24.0,48.69300909999998,Saudi Arabia,-0.5164883289724749,-0.6031659757865624,2.519484167886345e-41,0.1649331235670652,3
9186,18.0,42.6315789,Saudi Arabia,-0.340288261433646,-0.5709548425212347,5.450182471613573e-47,0.378314521797396,3
9283,23.0,42.96072509999999,Saudi Arabia,-0.5141154876366839,-0.5585771519007541,1.8217068004187108e-76,0.0956904453629567,3
9208,14.0,47.96561600000001,(offshore/unassigned),-0.1179362423801313,-0.4846272419629445,8.327016657878685e-25,,1
9333,21.0,57.32142859999999,Oman,-0.3252131074898371,-0.4429566118503565,4.446029133088572e-24,0.2329660632847648,3
9142,29.0,45.286624200000006,Saudi Arabia,-0.2866425395306962,-0.3983892423893455,9.655891643796138e-19,0.3423790233693715,3
9320,21.0,43.392857100000015,Saudi Arabia,-0.3026482821400425,-0.3505580031374989,4.323926188589308e-42,0.0756827984326786,3
9232,28.0,47.12933749999999,Saudi Arabia,-0.369283553273193,-0.3382665533184512,2.335940497526947e-24,0.043263169365356,3
9202,15.0,50.172413800000015,Yemen,-0.0889579042751069,-0.3326668943799487,9.05681924815276e-15,,1
9295,23.0,56.01208460000001,Oman,-0.2430285440097756,-0.2887704212925441,9.896024276871391e-29,0.1053564234173798,3
9310,22.0,52.43243240000001,Saudi Arabia,-0.204613157547856,-0.2756198542270002,1.8063980215604096e-24,0.1916618764366468,3
9179,24.0,39.93920969999999,Saudi Arabia,-0.2340809965755073,-0.2725078139750878,1.924896375557085e-39,0.1003304914931018,3
9291,23.0,51.661631400000005,Saudi Arabia,-0.1911846940733945,-0.2628244436171252,1.1885334601853833e-15,0.1795539536022604,3
9381,17.0,46.56976739999999,Yemen,-0.1886285140071398,-0.2626982727737117,2.7605514661219297e-26,0.2006402473251208,3
9200,15.0,48.1034483,Yemen,-0.1040366379695816,-0.2202578073011027,1.7773092076380253e-17,0.2457011064887573,3
9358,19.0,50.29411759999999,Saudi Arabia,-0.15964368790113,-0.2022719986711674,1.4412915580049096e-17,0.1222621752427417,3
9178,24.0,38.84498479999999,Saudi Arabia,0.0423801776949326,-0.1814670646021603,1.554316861594793e-16,,1
9300,22.0,41.6216216,Saudi Arabia,-0.1418789471992219,-0.1688923753826529,1.8167641754154252e-14,0.1285174197363763,3
9373,18.0,51.052631599999984,Yemen,-0.0743253344335289,-0.1313261992655562,5.070519286163258e-10,0.1634531225622398,3
9361,19.0,53.47058820000001,Oman,0.0100828312688566,-0.0381560393519033,0.0101375173820413,0.1326334182785642,3
9204,14.0,43.8395415,Yemen,-0.0132507461283295,-0.0256447350484867,0.4605619154420473,0.0068949569009371,3
